County Name,Agency Name,County #,District #,FTE Teachers 2018-2019,Total Staff 2018-2019,Total Students 2018-2019,FTE Teachers 2020-2021,Total Staff 2020-2021,Total Students 2020-2021,FTE Teachers 2021-2022,Total Staff 2021-2022,Total Students 2021-2022
HOCKLEY COUNTY,SMYER ISD,48219,110906,39.5,59.55,436.0,41.1,59.95,412.0,41.57,63.73,417.0
BURLESON COUNTY,SNOOK ISD,48051,26903,48.13,93.28,513.0,44.86,100.1,489.0,46.92,103.32,530.0
SCURRY COUNTY,SNYDER ISD,48415,208902,194.51,367.54,2659.0,204.49,396.25,2610.0,207.98,418.0,2558.0
EL PASO COUNTY,SOCORRO ISD,48141,71909,2803.96,5665.72,46814.0,2931.18,6020.31,47061.0,2912.08,5975.51,47278.0
BEXAR COUNTY,SOMERSET ISD,48029,15909,252.93,570.76,4158.0,265.47,600.36,4021.0,258.64,592.92,3958.0
BURLESON COUNTY,SOMERVILLE ISD,48051,26902,46.54,73.9,529.0,52.42,96.17,518.0,50.81,96.42,544.0
SUTTON COUNTY,SONORA ISD,48435,218901,70.78,142.79,808.0,68.44,124.31,699.0,66.37,117.2,691.0
BEXAR COUNTY,SOUTH SAN ANTONIO ISD,48029,15908,529.87,1153.53,8939.0,554.27,1247.13,8267.0,541.29,1180.68,7922.0
HIDALGO COUNTY,SOUTH TEXAS ISD,48215,31916,299.66,648.22,4098.0,304.37,645.72,4194.0,311.68,661.71,4251.0
GARZA COUNTY,SOUTHLAND ISD,48169,85903,14.72,26.87,123.0,16.33,28.37,117.0,17.11,28.87,115.0
BEXAR COUNTY,SOUTHSIDE ISD,48029,15917,359.35,630.75,5663.0,374.97,892.59,5595.0,389.02,942.18,5520.0
BEXAR COUNTY,SOUTHWEST ISD,48029,15912,915.07,1874.99,13759.0,951.35,2054.39,13474.0,978.34,2079.1,13277.0
BEXAR COUNTY,SOUTHWEST PREPARATORY SCHOOL,48029,15807,80.35,152.36,983.0,75.58,157.62,850.0,72.55,147.57,795.0
HARRIS COUNTY,SOUTHWEST SCHOOL,48201,101838,108.68,200.28,1993.0,108.43,217.12,1703.0,95.96,201.5,1527.0
HANSFORD COUNTY,SPEARMAN ISD,48195,98904,79.57,148.21,863.0,77.48,151.37,812.0,80.81,150.06,786.0
MONTGOMERY COUNTY,SPLENDORA ISD,48339,170907,271.77,572.99,4108.0,302.31,647.3,4170.0,299.68,662.2,4384.0
HARRIS COUNTY,SPRING BRANCH ISD,48201,101920,2302.82,4435.5,34681.0,2151.52,4588.44,33288.0,2196.76,4561.34,33545.0
HUTCHINSON COUNTY,SPRING CREEK ISD,48233,117907,10.84,19.53,92.0,11.56,20.2,106.0,12.01,23.58,99.0
GREGG COUNTY,SPRING HILL ISD,48183,92907,144.74,263.31,2019.0,150.2,268.35,2006.0,149.47,264.23,2038.0
HARRIS COUNTY,SPRING ISD,48201,101919,2163.98,4978.37,35385.0,2257.58,5186.61,33567.0,2176.68,4949.06,33425.0
LAMB COUNTY,SPRINGLAKE-EARTH ISD,48279,140907,33.8,64.96,351.0,35.78,67.7,306.0,33.17,64.45,296.0
PARKER COUNTY,SPRINGTOWN ISD,48367,184902,258.5,479.95,3473.0,271.71,517.6,3619.0,281.13,542.68,3888.0
DICKENS COUNTY,SPUR ISD,48125,63903,28.24,54.0,246.0,28.01,55.88,240.0,26.72,50.34,221.0
TYLER COUNTY,SPURGER ISD,48457,229905,33.62,71.28,372.0,36.99,79.57,358.0,38.91,76.11,371.0
DALLAS COUNTY,ST ANTHONY SCHOOL,48113,57836,19.89,35.08,309.0,22.27,40.46,327.0,23.99,45.74,316.0
BEE COUNTY,ST MARY'S ACADEMY CHARTER SCHOOL,48025,13801,27.8,74.74,430.0,24.27,70.54,391.0,24.3,71.79,401.0
