ELSI Export

National Center for Education Statistics - http://nces.ed.gov/ccd/elsi/

This is a District based table with the following filters applied: State(s) (All Years): TEXAS

Agency Name,State Name [District] Latest available year,Agency ID - NCES Assigned [District] Latest available year,Total Number Operational Schools [Public School] 2021-22,Total Number of Public Schools [Public School] 2021-22,State Agency ID [District] 2021-22,Total Students All Grades (Excludes AE) [District] 2021-22,Full-Time Equivalent (FTE) Teachers [District] 2021-22,Total Staff [District] 2021-22
BRAZOS SCHOOL FOR INQUIRY & CREATIVITY,Texas,4800086,2,2,TX-021803,330,22.40,55.55
BRAZOSPORT ISD,Texas,4811190,20,20,TX-020905,11478,835.29,1829.38
BRECKENRIDGE ISD,Texas,4811220,4,4,TX-215901,1417,105.73,237.77
BREMOND ISD,Texas,4811250,3,3,TX-198901,498,44.88,81.97
BRENHAM ISD,Texas,4811280,7,7,TX-239901,4881,377.43,679.98
BRIDGE CITY ISD,Texas,4811310,4,4,TX-181901,3106,191.61,370.43
BRIDGEPORT ISD,Texas,4811340,4,4,TX-249903,2031,166.02,335.80
BRIDGEWAY PREPARATORY ACADEMY,TEXAS,4801462,1,1,TX-057851,96,6.64,11.30
BRILLANTE ACADEMY,TEXAS,4801475,="0",1,TX-108810,†,†,†
BROADDUS ISD,Texas,4811430,2,2,TX-203902,365,36.81,73.55
BROCK ISD,Texas,4811460,4,4,TX-184909,2005,146.24,239.69
BRONTE ISD,Texas,4811490,1,1,TX-041901,238,28.46,50.81
BROOKELAND ISD,Texas,4811520,2,2,TX-121902,369,39.11,69.64
BROOKESMITH ISD,Texas,4811550,5,5,TX-025908,191,19.70,44.76
BROOKS ACADEMIES OF TEXAS,Texas,4800268,4,4,TX-015830,3141,192.69,419.35
BROOKS COUNTY ISD,Texas,4811580,5,5,TX-024901,1342,93.39,192.16
BROWNFIELD ISD,Texas,4811610,5,6,TX-223901,1641,132.23,296.78
BROWNSBORO ISD,Texas,4811640,6,6,TX-107902,2585,192.79,394.82
BROWNSVILLE ISD,Texas,4811680,56,57,TX-031901,38448,2658.91,6124.22
BROWNWOOD ISD,Texas,4811700,7,7,TX-025902,3457,252.48,486.58
BRUCEVILLE-EDDY ISD,Texas,4811730,7,7,TX-161919,610,69.57,131.85
BRYAN ISD,Texas,4811790,25,25,TX-021902,16035,1191.45,2614.16
BRYSON ISD,Texas,4811820,1,1,TX-119901,252,22.17,40.27
BUCKHOLTS ISD,Texas,4811850,1,1,TX-166907,140,15.43,32.40
BUENA VISTA ISD,Texas,4811910,1,1,TX-186901,240,19.93,33.99
BUFFALO ISD,Texas,4811990,3,3,TX-145901,1026,80.81,163.24
BULLARD ISD,Texas,4812060,6,6,TX-212902,2791,206.16,403.47
BUNA ISD,Texas,4812090,3,3,TX-121903,1489,117.11,268.21
BURKBURNETT ISD,Texas,4812120,7,7,TX-243901,3314,243.69,504.66
BURKEVILLE ISD,Texas,4812150,1,1,TX-176901,232,23.71,54.30
BURLESON ISD,Texas,4812180,19,20,TX-126902,12746,827.84,1598.26
BURNET CISD,Texas,4812220,6,6,TX-027903,3277,221.48,482.84
BURNHAM WOOD CHARTER SCHOOL DISTRICT,Texas,4800037,3,3,TX-071801,1376,78.96,161.67
BURTON ISD,Texas,4812240,2,2,TX-239903,523,47.00,83.37
BUSHLAND ISD,Texas,4835570,3,3,TX-188904,1550,120.84,194.64
BYNUM ISD,Texas,4812360,1,2,TX-109902,181,20.17,40.49
CADDO MILLS ISD,Texas,4812390,4,5,TX-116901,2232,163.59,310.87
CALALLEN ISD,Texas,4812420,6,6,TX-178903,3868,288.93,605.29
CALDWELL ISD,Texas,4812460,4,5,TX-026901,1840,140.61,301.15
CALHOUN COUNTY ISD,Texas,4812480,7,7,TX-029901,3576,273.14,561.21
CALLISBURG ISD,Texas,4812510,4,4,TX-049905,1140,86.11,150.67
CALVERT ISD,Texas,4812540,1,1,TX-198902,142,17.83,37.50
CALVIN NELMS CHARTER SCHOOLS,Texas,4800124,2,2,TX-101837,304,17.84,28.54
