ELSI Export

National Center for Education Statistics - http://nces.ed.gov/ccd/elsi/

This is a District based table with the following filters applied: State(s) (All Years): TEXAS

Agency Name,State Name [District] Latest available year,Agency ID - NCES Assigned [District] Latest available year,Total Number Operational Schools [Public School] 2021-22,Total Number of Public Schools [Public School] 2021-22,State Agency ID [District] 2021-22,Total Students All Grades (Excludes AE) [District] 2021-22,Full-Time Equivalent (FTE) Teachers [District] 2021-22,Total Staff [District] 2021-22
LOMETA ISD,Texas,4827960,2,2,TX-141902,317,28.91,59.47
LONDON ISD,Texas,4827990,4,4,TX-178906,1428,85.62,154.21
LONE OAK ISD,Texas,4828020,3,3,TX-116906,1027,75.01,157.09
LONE STAR LANGUAGE ACADEMY,TEXAS,4801452,1,1,TX-043802,146,19.39,27.37
LONGVIEW ISD,Texas,4828110,15,15,TX-092903,8236,617.01,1253.61
LOOP ISD,Texas,4828140,1,1,TX-083902,151,17.39,32.42
LORAINE ISD,Texas,4828170,1,1,TX-168902,135,17.21,35.84
LORENA ISD,Texas,4828200,5,5,TX-161907,1766,129.94,253.31
LORENZO ISD,Texas,4828230,1,1,TX-054902,237,25.89,75.10
LOS FRESNOS CISD,Texas,4828290,15,15,TX-031906,10355,685.66,1575.48
LOUISE ISD,Texas,4828350,3,3,TX-241906,518,43.65,80.83
LOVEJOY ISD,Texas,4828380,5,8,TX-043919,4345,284.95,544.26
LOVELADY ISD,Texas,4828410,2,2,TX-113903,504,49.87,85.15
LUBBOCK ISD,Texas,4828500,48,48,TX-152901,25659,1920.27,3409.51
LUBBOCK-COOPER ISD,Texas,4815180,10,11,TX-152906,7592,573.62,1014.50
LUEDERS-AVOCA ISD,Texas,4828530,2,2,TX-127905,99,17.73,31.66
LUFKIN ISD,Texas,4828550,17,18,TX-003903,7360,593.03,1322.49
LULING ISD,Texas,4828590,3,3,TX-028903,1440,105.83,196.33
LUMBERTON ISD,Texas,4813530,5,6,TX-100907,4202,277.23,522.81
LUMIN EDUCATION,Texas,4800089,1,1,TX-057805,250,16.64,47.66
LYFORD CISD,Texas,4828620,4,4,TX-245902,1428,105.30,258.07
LYTLE ISD,Texas,4828650,5,6,TX-007904,1743,126.01,285.86
MABANK ISD,Texas,4828680,6,6,TX-129905,3659,255.14,522.39
MADISONVILLE CISD,Texas,4828710,4,4,TX-154901,2319,173.00,316.57
MAGNOLIA ISD,Texas,4828740,17,17,TX-170906,13658,900.41,1711.52
MALAKOFF ISD,Texas,4828780,6,6,TX-107906,1420,118.10,248.32
MALONE ISD,Texas,4828800,1,2,TX-109908,153,11.41,30.54
MALTA ISD,Texas,4828830,1,1,TX-019910,208,18.07,28.41
MANARA ACADEMY,Texas,4801415,3,3,TX-057844,541,33.94,50.30
MANOR ISD,Texas,4828890,15,16,TX-227907,9270,607.50,1252.57
MANSFIELD ISD,Texas,4828920,48,48,TX-220908,35559,2365.35,4496.74
MARATHON ISD,Texas,4828980,1,1,TX-022902,57,11.94,17.30
MARBLE FALLS ISD,Texas,4829010,7,7,TX-027904,4014,307.87,657.27
MARFA ISD,Texas,4829040,1,1,TX-189901,270,30.52,61.42
MARION ISD,Texas,4829100,5,5,TX-094904,1475,122.53,209.60
MARLIN ISD,Texas,4829130,3,4,TX-073903,882,58.84,183.26
MARSHALL ISD,Texas,4829160,8,8,TX-102902,5070,340.61,714.26
MART ISD,Texas,4829190,3,4,TX-161908,533,43.08,79.31
MARTINS MILL ISD,Texas,4829220,2,3,TX-234905,511,40.83,81.65
MARTINSVILLE ISD,Texas,4829250,1,1,TX-174909,345,33.31,58.43
MASON ISD,Texas,4829280,3,3,TX-157901,759,68.25,123.16
MATAGORDA ISD,Texas,4829370,1,1,TX-158904,101,11.60,21.58
MATHIS ISD,Texas,4829400,4,4,TX-205904,1443,119.88,256.31
MAUD ISD,Texas,4829460,1,1,TX-019903,474,39.42,80.54
MAY ISD,Texas,4829520,2,2,TX-025905,229,27.17,47.97
MAYPEARL ISD,Texas,4829580,4,5,TX-070915,1178,86.31,179.32
MCALLEN ISD,Texas,4829670,30,31,TX-108906,20410,1502.76,3348.06
MCCAMEY ISD,Texas,4829700,3,3,TX-231901,523,40.83,95.14
MCDADE ISD,Texas,4829760,2,3,TX-011905,319,31.66,63.14
MCGREGOR ISD,Texas,4829820,4,5,TX-161909,1494,113.96,255.79
MCKINNEY ISD,Texas,4829850,32,33,TX-043907,23379,1631.26,2757.03
MCLEAN ISD,Texas,4829880,1,1,TX-090903,187,19.47,38.01
MCLEOD ISD,Texas,4829910,3,3,TX-034906,400,35.33,62.96
MCMULLEN COUNTY ISD,Texas,4829940,1,1,TX-162904,283,26.26,51.79
MEADOW ISD,Texas,4830000,1,1,TX-223902,270,30.74,51.43
MEADOWLAND CHARTER DISTRICT,Texas,4801404,2,2,TX-130801,79,12.71,23.33
MEDINA ISD,Texas,4830030,1,1,TX-010901,267,37.60,77.51
MEDINA VALLEY ISD,Texas,4830060,8,8,TX-163908,6785,443.07,914.36
MELISSA ISD,Texas,4830120,6,8,TX-043908,4874,285.50,550.52
MEMPHIS ISD,Texas,4830180,4,4,TX-096904,442,43.04,116.21
MENARD ISD,Texas,4830210,2,2,TX-164901,300,26.00,62.50
MERCEDES ISD,Texas,4830250,12,12,TX-108907,4418,321.72,732.39
MERIDIAN ISD,Texas,4830300,2,2,TX-018902,393,45.85,95.09
MERIDIAN WORLD SCHOOL LLC,Texas,4801422,1,1,TX-246801,1684,105.78,213.77
MERKEL ISD,Texas,4830340,4,4,TX-221904,1087,95.70,190.90
MESQUITE ISD,Texas,4830390,50,51,TX-057914,38378,2646.73,5441.15
MEXIA ISD,Texas,4830420,5,5,TX-147903,1856,154.00,338.73
MEYERPARK ELEMENTARY,Texas,4800262,1,1,TX-101855,272,17.46,31.99
MEYERSVILLE ISD,Texas,4830450,1,1,TX-062906,145,12.43,23.32
MIAMI ISD,Texas,4830480,1,1,TX-197902,196,23.16,40.70
MIDLAND ACADEMY CHARTER SCHOOL,Texas,4800148,1,1,TX-165802,363,27.96,42.29
MIDLAND ISD,Texas,4830570,41,41,TX-165901,26398,1670.32,3030.49
MIDLOTHIAN ISD,Texas,4830600,13,14,TX-070908,10431,624.45,1238.10
MIDWAY ISD,Texas,4830640,10,12,TX-161903,8434,547.48,1145.38
MIDWAY ISD,Texas,4830660,1,1,TX-039905,131,18.90,32.01
MILANO ISD,Texas,4830690,3,3,TX-166903,409,41.17,75.78
MILDRED ISD,Texas,4830720,2,2,TX-175910,834,59.04,117.20
MILES ISD,Texas,4830750,4,4,TX-200902,487,43.42,77.43
MILFORD ISD,Texas,4830780,1,2,TX-070909,238,22.23,40.02
MILLER GROVE ISD,Texas,4830810,1,1,TX-112907,299,30.30,51.94
MILLSAP ISD,Texas,4830870,3,3,TX-184904,1101,88.43,165.61
MINEOLA ISD,Texas,4830930,4,4,TX-250903,1632,140.32,280.12
MINERAL WELLS ISD,Texas,4830950,4,4,TX-182903,3235,244.97,504.08
MISSION CISD,Texas,4831040,23,24,TX-108908,13990,948.10,2234.35
MONAHANS-WICKETT-PYOTE ISD,Texas,4831170,6,6,TX-238902,2162,154.64,355.64
MONTAGUE ISD,Texas,4831200,1,1,TX-169908,148,12.94,20.36
MONTE ALTO ISD,Texas,4831230,3,4,TX-108915,890,63.90,135.56
MONTESSORI FOR ALL,Texas,4801442,1,1,TX-227826,470,25.23,58.96
MONTGOMERY ISD,Texas,4831260,11,11,TX-170903,9343,585.90,1068.47
MOODY ISD,Texas,4831290,4,5,TX-161910,688,62.73,114.72
MORAN ISD,Texas,4831320,1,1,TX-209902,114,14.23,25.01
MORGAN ISD,Texas,4831380,1,1,TX-018903,139,15.50,28.50
MORGAN MILL ISD,Texas,4831410,1,1,TX-072910,119,10.83,17.75
MORTON ISD,Texas,4831470,1,1,TX-040901,361,39.06,73.39
MOTLEY COUNTY ISD,Texas,4831500,1,1,TX-173901,157,17.87,41.49
MOULTON ISD,Texas,4831560,2,3,TX-143902,309,26.94,49.87
MOUNT CALM ISD,Texas,4831620,2,2,TX-109910,193,18.26,35.89
MOUNT ENTERPRISE ISD,Texas,4831650,2,2,TX-201907,467,40.86,71.09
MOUNT PLEASANT ISD,Texas,4831760,9,9,TX-225902,5139,402.93,840.31
MOUNT VERNON ISD,Texas,4831770,3,3,TX-080901,1528,118.05,225.68
MUENSTER ISD,Texas,4831860,2,2,TX-049902,538,45.95,72.41
MULESHOE ISD,Texas,4831890,4,4,TX-009901,1348,116.25,230.66
MULLIN ISD,Texas,4831920,6,8,TX-167902,195,28.52,68.10
MUMFORD ISD,Texas,4831950,2,2,TX-198906,611,41.00,74.71
MUNDAY CISD,Texas,4831970,2,2,TX-138903,405,39.10,77.26
MURCHISON ISD,Texas,4832010,1,1,TX-107908,179,18.99,36.42
NACOGDOCHES ISD,Texas,4832090,11,11,TX-174904,5903,440.70,1015.92
NATALIA ISD,Texas,4832130,4,4,TX-163903,1146,82.74,182.46
NAVARRO ISD,Texas,4832160,4,4,TX-094903,1992,139.35,265.46
NAVASOTA ISD,Texas,4832190,6,6,TX-093904,2991,239.04,424.15
NAZARETH ISD,Texas,4832220,1,1,TX-035903,250,22.08,36.99
NECHES ISD,Texas,4832250,2,2,TX-001906,343,30.22,60.13
NEDERLAND ISD,Texas,4832280,8,9,TX-123905,5009,369.21,654.62
NEEDVILLE ISD,Texas,4832310,4,5,TX-079906,3385,223.05,404.47
NEW BOSTON ISD,Texas,4832340,4,4,TX-019905,1198,122.62,245.89
NEW BRAUNFELS ISD,Texas,4832370,16,16,TX-046901,9676,595.36,1149.09
NEW CANEY ISD,Texas,4832400,21,21,TX-170908,17116,1078.89,2284.74
NEW DEAL ISD,Texas,4832430,4,5,TX-152902,725,58.45,106.16
NEW DIANA ISD,Texas,4832460,3,3,TX-230906,1217,98.43,169.96
NEW FRONTIERS PUBLIC SCHOOLS INC,Texas,4800061,1,3,TX-015805,149,9.20,28.75
NEW HOME ISD,Texas,4832490,1,1,TX-153905,588,49.86,79.01
NEW SUMMERFIELD ISD,Texas,4832610,1,1,TX-037908,538,47.47,102.68
NEW WAVERLY ISD,Texas,4832640,4,4,TX-236901,996,85.74,160.12
NEWCASTLE ISD,Texas,4832700,1,1,TX-252902,212,24.13,42.32
NEWMAN INTERNATIONAL ACADEMY OF ARLINGTON,Texas,4801421,7,7,TX-220817,3032,230.37,414.49
NEWTON ISD,Texas,4832730,3,3,TX-176902,964,93.92,194.08
NIXON-SMILEY CISD,Texas,4832740,5,5,TX-089903,1065,88.28,209.34
NOCONA ISD,Texas,4832790,3,3,TX-169902,806,75.30,156.83
NORDHEIM ISD,Texas,4832880,1,1,TX-062902,149,16.23,27.44
NORMANGEE ISD,Texas,4832910,3,3,TX-145906,627,53.13,102.90
NORTH EAST ISD,Texas,4832940,75,75,TX-015910,59830,4001.53,8151.12
NORTH HOPKINS ISD,Texas,4832970,2,2,TX-112906,535,46.60,94.26
NORTH LAMAR ISD,Texas,4833010,6,6,TX-139911,2416,200.03,424.05
NORTH TEXAS COLLEGIATE ACADEMY,Texas,4800187,3,3,TX-061802,695,44.89,61.80
NORTH ZULCH ISD,Texas,4833030,1,1,TX-154903,315,29.26,56.89
NORTHSIDE ISD,Texas,4833090,1,1,TX-244905,236,17.24,29.00
NORTHSIDE ISD,Texas,4833120,124,130,TX-015915,102377,6792.17,13046.36
NORTHWEST ISD,Texas,4833180,32,34,TX-061911,27583,1702.98,2873.38
NOVA ACADEMY,Texas,4800072,1,1,TX-057809,124,8.95,17.30
NOVA ACADEMY SOUTHEAST,Texas,4800201,2,2,TX-057827,535,39.23,77.89
NUECES CANYON CISD,Texas,4833240,2,2,TX-069902,254,27.14,51.34
NURSERY ISD,Texas,4833270,1,1,TX-235904,136,13.00,24.22
NYOS CHARTER SCHOOL,Texas,4800058,2,2,TX-227804,1422,111.78,165.46
O'DONNELL ISD,Texas,4833390,1,1,TX-153903,296,34.40,61.24
OAKWOOD ISD,Texas,4833340,2,2,TX-145907,234,21.44,44.09
ODEM-EDROY ISD,Texas,4833360,4,4,TX-205905,839,69.48,162.43
ODYSSEY ACADEMY INC,Texas,4800108,2,2,TX-084802,1493,104.33,212.07
OGLESBY ISD,Texas,4833420,1,1,TX-050904,198,22.43,37.75
OLFEN ISD,Texas,4833570,3,4,TX-200906,141,13.46,23.93
OLNEY ISD,Texas,4833630,3,3,TX-252903,698,76.79,147.93
OLTON ISD,Texas,4833660,3,3,TX-140905,582,55.00,108.26
ONALASKA ISD,Texas,4833690,2,2,TX-187910,1215,87.01,191.50
ORANGE GROVE ISD,Texas,4833720,4,4,TX-125903,1773,121.11,251.20
ORANGEFIELD ISD,Texas,4833780,3,3,TX-181905,1851,131.69,257.33
ORE CITY ISD,Texas,4833840,3,3,TX-230903,861,82.01,166.85
ORENDA CHARTER SCHOOL,Texas,4800235,5,5,TX-014804,1907,110.97,189.04
OVERTON ISD,Texas,4833870,2,2,TX-201908,474,50.34,97.61
PADUCAH ISD,Texas,4833900,1,1,TX-051901,161,19.85,34.66
PAINT CREEK ISD,Texas,4833960,1,1,TX-104907,95,17.69,30.80
PAINT ROCK ISD,Texas,4833980,5,6,TX-048903,226,25.44,46.50
PALACIOS ISD,Texas,4834020,4,4,TX-158905,1322,97.77,206.68
PALESTINE ISD,Texas,4834050,6,6,TX-001907,3361,260.31,554.40
PALMER ISD,Texas,4834110,3,4,TX-070910,1256,90.34,184.05
PALO PINTO ISD,Texas,4834140,1,1,TX-182906,84,10.70,18.36
PAMPA ISD,Texas,4834170,6,6,TX-090904,3460,236.00,531.51
PANHANDLE ISD,Texas,4834230,3,3,TX-033902,664,60.11,110.45
PANOLA CHARTER SCHOOL,Texas,4800213,3,3,TX-183801,209,7.96,19.96
PANTHER CREEK CISD,Texas,4800007,1,1,TX-042905,165,19.26,32.69
PARADISE ISD,Texas,4834260,4,4,TX-249906,1283,101.15,166.38
PARIS ISD,Texas,4834290,8,8,TX-139909,3808,314.69,595.90
PASADENA ISD,Texas,4834320,67,67,TX-101917,49326,3828.17,8412.66
PATTON SPRINGS ISD,Texas,4834380,1,1,TX-063906,86,10.51,29.49
PAWNEE ISD,Texas,4834410,1,1,TX-013902,498,23.43,108.78
PEARLAND ISD,Texas,4834440,23,25,TX-020908,21007,1300.68,2571.88
PEARSALL ISD,Texas,4834470,5,5,TX-082903,2042,140.42,328.82
PEASTER ISD,Texas,4834500,3,3,TX-184908,1625,120.71,232.05
PECOS-BARSTOW-TOYAH ISD,Texas,4834550,5,5,TX-195901,2671,194.35,464.35
PEGASUS SCHOOL OF LIBERAL ARTS AND SCIENCES,Texas,4800029,1,1,TX-057802,486,38.57,68.02
PENELOPE ISD,Texas,4834560,1,2,TX-109914,199,20.01,39.80
PERRIN-WHITT CISD,Texas,4834630,2,2,TX-119903,322,30.24,51.59
PERRYTON ISD,Texas,4834650,6,6,TX-179901,2052,157.83,373.17
PETERSBURG ISD,Texas,4834680,1,3,TX-095904,276,29.48,60.89
PETROLIA CISD,Texas,4834710,2,2,TX-039903,463,42.25,86.51
PETTUS ISD,Texas,4834770,2,2,TX-013903,379,33.68,76.31
PEWITT CISD,Texas,4834800,3,3,TX-172905,867,77.00,153.75
PFLUGERVILLE ISD,Texas,4834830,33,34,TX-227904,25486,1862.59,3464.41
PHARR-SAN JUAN-ALAMO ISD,Texas,4834860,42,46,TX-108909,29250,2134.45,4644.10
PILOT POINT ISD,Texas,4834920,4,5,TX-061903,1432,109.91,200.26
PINE TREE ISD,Texas,4834980,7,7,TX-092904,4682,316.44,672.45
PINEYWOODS COMMUNITY ACADEMY,Texas,4800074,4,4,TX-003801,995,67.15,136.26
PIONEER TECHNOLOGY & ARTS ACADEMY,TEXAS,4801451,6,6,TX-057850,2226,170.33,217.00
PITTSBURG ISD,Texas,4835010,5,5,TX-032902,2358,206.33,435.59
PLAINS ISD,Texas,4835040,3,3,TX-251902,412,44.91,83.13
PLAINVIEW ISD,Texas,4835070,10,10,TX-095905,4752,336.28,700.05
PLANO ISD,Texas,4835100,79,82,TX-043910,49400,3638.01,6536.25
PLEASANT GROVE ISD,Texas,4835130,4,4,TX-019912,2321,177.09,270.93
PLEASANTON ISD,Texas,4835190,6,6,TX-007905,3384,243.50,528.14
PLEMONS-STINNETT-PHILLIPS CISD,Texas,4841580,3,3,TX-117904,621,69.58,126.24
POINT ISABEL ISD,Texas,4835250,5,5,TX-031909,1976,131.23,317.50
PONDER ISD,Texas,4835310,3,4,TX-061906,1582,110.32,216.63
POOLVILLE ISD,Texas,4835340,3,3,TX-184901,645,60.56,111.06
POR VIDA ACADEMY,Texas,4800004,2,2,TX-015801,124,14.79,49.28
PORT ARANSAS ISD,Texas,4835370,3,4,TX-178908,524,47.64,98.49
PORT ARTHUR ISD,Texas,4835400,14,15,TX-123907,8003,614.69,1328.44
PORT NECHES-GROVES ISD,Texas,4835430,12,16,TX-123908,5196,358.83,535.27
POSITIVE SOLUTIONS CHARTER SCHOOL,Texas,4800059,1,1,TX-015814,93,8.12,18.23
POST ISD,Texas,4835490,4,4,TX-085902,786,68.11,149.53
POTEET ISD,Texas,4835520,4,5,TX-007906,1680,125.16,257.87
POTH ISD,Texas,4835550,4,5,TX-247904,912,75.11,140.06
POTTSBORO ISD,Texas,4835580,3,3,TX-091913,1434,101.97,194.68
PRAIRIE LEA ISD,Texas,4835700,1,1,TX-028906,235,20.88,35.40
PRAIRIE VALLEY ISD,Texas,4835730,2,2,TX-169909,147,16.55,27.10
PRAIRILAND ISD,Texas,4835740,4,4,TX-139912,1090,84.70,155.89
PRELUDE PREPARATORY CHARTER SCHOOL,TEXAS,4801476,1,1,TX-015843,30,5.80,9.21
PREMIER HIGH SCHOOLS,Texas,4800207,40,40,TX-072801,6834,345.75,1064.01
PREMONT ISD,Texas,4835760,2,3,TX-125905,730,54.98,91.88
PRESIDIO ISD,Texas,4835800,3,4,TX-189902,1047,72.81,192.41
PRIDDY ISD,Texas,4835820,1,1,TX-167904,124,15.30,28.40
PRINCETON ISD,Texas,4835850,11,15,TX-043911,6767,428.08,858.05
PRINGLE-MORSE CISD,Texas,4835890,1,1,TX-098903,129,15.14,30.48
PRIORITY CHARTER SCHOOLS,Texas,4800076,4,4,TX-014803,836,63.13,118.66
PROGRESO ISD,Texas,4835910,4,6,TX-108910,1393,105.37,285.46
PROMESA ACADEMY CHARTER SCHOOL,TEXAS,4801467,1,1,TX-015839,262,27.06,37.50
PROMISE COMMUNITY SCHOOL,Texas,4800240,5,5,TX-101853,1722,100.43,168.50
PROSPER ISD,Texas,4836000,23,27,TX-043912,21780,1429.94,2444.33
QUANAH ISD,Texas,4836180,3,3,TX-099903,498,62.96,132.33
QUEEN CITY ISD,Texas,4836210,3,3,TX-034907,935,87.70,177.84
QUINLAN ISD,Texas,4836240,4,4,TX-116908,2577,174.62,382.73
QUITMAN ISD,Texas,4836300,3,3,TX-250904,1179,102.90,203.65
RAINS ISD,Texas,4836360,4,4,TX-190903,1729,138.26,304.31
RALLS ISD,Texas,4836390,4,4,TX-054903,484,46.44,85.99
RAMIREZ CSD,Texas,4836420,1,1,TX-066005,26,3.00,9.98
RANCH ACADEMY,Texas,4800171,1,1,TX-234801,75,4.88,12.77
RANDOLPH FIELD ISD,Texas,4836450,3,3,TX-015906,1460,100.99,196.52
RANGER ISD,Texas,4836480,3,3,TX-067907,336,39.20,70.77
RANKIN ISD,Texas,4836510,1,1,TX-231902,312,41.89,77.87
RAPOPORT ACADEMY PUBLIC SCHOOL,Texas,4800042,3,3,TX-161802,855,82.10,163.36
RAUL YZAGUIRRE SCHOOLS FOR SUCCESS,Texas,4800022,6,6,TX-101806,1563,97.61,213.05
RAVEN SCHOOL,Texas,4800048,1,1,TX-236801,29,4.07,11.61
RAYMONDVILLE ISD,Texas,4836540,5,6,TX-245903,1961,152.25,354.25
REAGAN COUNTY ISD,Texas,4836570,3,3,TX-192901,812,83.78,162.69
RED LICK ISD,Texas,4836630,2,2,TX-019911,501,40.00,69.86
RED OAK ISD,Texas,4836660,8,8,TX-070911,6296,395.88,868.67
REDWATER ISD,Texas,4836750,4,4,TX-019906,1103,100.57,154.87
REFUGIO ISD,Texas,4836780,3,3,TX-196903,689,59.01,159.98
REG 1 EDUCATION SERVICE CENTER,Texas,4800136,="0",†,TX-108950,†,="0.00",1.00
REG 10 EDUCATION SERVICE CENTER,Texas,4800104,="0",†,TX-057950,†,="0.00",5.38
REG 11 EDUCATION SERVICE CENTER,Texas,4800162,="0",†,TX-220950,†,="0.00",7.80
REG 12 EDUCATION SERVICE CENTER,Texas,4800146,="0",†,TX-161950,†,="0.00",18.92
REG 13 EDUCATION SERVICE CENTER,Texas,4800169,="0",†,TX-227950,†,="0.00",14.03
REG 14 EDUCATION SERVICE CENTER,Texas,4800164,="0",†,TX-221950,†,†,="0.00"
REG 15 EDUCATION SERVICE CENTER,Texas,4800166,="0",†,TX-226950,†,†,="0.00"
REG 16 EDUCATION SERVICE CENTER,Texas,4800156,="0",†,TX-188950,†,="0.00",59.74
REG 17 EDUCATION SERVICE CENTER,Texas,4800144,="0",†,TX-152950,†,="0.00",13.34
REG 18 EDUCATION SERVICE CENTER,Texas,4800150,="0",†,TX-165950,†,†,="0.00"
REG 19 EDUCATION SERVICE CENTER,Texas,4800107,="0",†,TX-071950,†,="0.00",2.25
REG 2 EDUCATION SERVICE CENTER,Texas,4800154,="0",†,TX-178950,†,="0.00",13.37
REG 20 EDUCATION SERVICE CENTER,Texas,4800083,="0",†,TX-015950,†,="0.00",33.85
REG 3 EDUCATION SERVICE CENTER,Texas,4800172,="0",†,TX-235950,†,†,="0.00"
REG 4 EDUCATION SERVICE CENTER,Texas,4800130,="0",†,TX-101950,†,†,="0.00"
REG 5 EDUCATION SERVICE CENTER,Texas,4800155,="0",†,TX-181950,†,4.63,9.90
REG 6 EDUCATION SERVICE CENTER,Texas,4800173,="0",†,TX-236950,†,="0.00",3.97
REG 7 EDUCATION SERVICE CENTER,Texas,4800110,="0",†,TX-092950,†,="0.00",="0.62"
REG 8 EDUCATION SERVICE CENTER,Texas,4800165,="0",†,TX-225950,†,="0.00",="0.29"
REG 9 EDUCATION SERVICE CENTER,Texas,4800176,="0",†,TX-243950,†,†,="0.00"
REVE PREPARATORY CHARTER SCHOOL,TEXAS,4801465,1,1,TX-101876,165,15.00,26.11
RICARDO ISD,Texas,4836930,2,2,TX-137902,625,46.00,100.65
RICE CISD,Texas,4836970,7,7,TX-045903,1275,103.24,200.31
RICE ISD,Texas,4836960,3,3,TX-175911,997,74.84,152.24
RICHARD MILBURN ALTER HIGH SCHOOL (KILLEEN),Texas,4800075,9,9,TX-014801,1591,63.84,154.77
RICHARDS ISD,Texas,4836990,1,1,TX-093905,213,18.78,31.76
RICHARDSON ISD,Texas,4837020,55,56,TX-057916,37633,2982.18,5725.63
RICHLAND COLLEGIATE HIGH SCHOOL,Texas,4800271,1,1,TX-057840,336,="0.96",2.40
RICHLAND SPRINGS ISD,Texas,4837080,1,1,TX-206902,121,13.63,27.37
RIESEL ISD,Texas,4837110,2,4,TX-161912,623,47.17,87.22
RIO GRANDE CITY GRULLA ISD,Texas,4837140,15,15,TX-214901,9008,738.54,1960.83
RIO HONDO ISD,Texas,4837170,4,4,TX-031911,1603,113.43,279.87
RIO VISTA ISD,Texas,4837200,4,4,TX-126907,820,69.87,130.61
RISE ACADEMY,Texas,4800141,1,1,TX-152802,305,19.25,42.70
RISING STAR ISD,Texas,4837230,2,2,TX-067908,191,19.60,37.62
RIVER ROAD ISD,Texas,4837260,4,4,TX-188902,1340,106.73,234.12
RIVERCREST ISD,Texas,4842120,3,3,TX-194903,685,69.81,128.48
RIVIERA ISD,Texas,4837320,2,2,TX-137903,479,39.32,77.94
ROBERT LEE ISD,Texas,4837380,6,6,TX-041902,263,24.15,45.62
ROBINSON ISD,Texas,4837410,6,6,TX-161922,2403,183.60,326.24
ROBSTOWN ISD,Texas,4837440,6,7,TX-178909,2480,162.75,419.17
ROBY CISD,Texas,4837470,1,1,TX-076903,330,31.97,61.19
ROCHELLE ISD,Texas,4837500,1,1,TX-160904,194,21.45,43.59
ROCKDALE ISD,Texas,4837590,4,4,TX-166904,1425,115.73,270.09
ROCKETSHIP PUBLIC SCHOOLS,TEXAS,4801482,="0",1,TX-220820,†,†,†
ROCKSPRINGS ISD,Texas,4800003,1,1,TX-069901,257,23.49,53.18
ROCKWALL ISD,Texas,4837650,22,25,TX-199901,17926,1076.42,2068.54
ROGERS ISD,Texas,4837710,4,5,TX-014907,896,73.78,138.17
ROMA ISD,Texas,4837740,10,10,TX-214903,5655,418.08,1027.97
ROOSEVELT ISD,Texas,4837800,3,4,TX-152908,1114,93.99,170.42
ROPES ISD,Texas,4837830,1,1,TX-110905,514,48.00,86.77
ROSCOE COLLEGIATE ISD,Texas,4837860,4,4,TX-177901,3081,49.17,112.78
ROSEBUD-LOTT ISD,Texas,4837900,3,3,TX-073905,720,59.67,118.09
ROTAN ISD,Texas,4838040,1,1,TX-076904,242,27.28,51.65
ROUND ROCK ISD,Texas,4838080,59,65,TX-246909,47167,3450.84,6411.97
ROUND TOP-CARMINE ISD,Texas,4838100,2,2,TX-075908,241,25.58,48.47
ROYAL ISD,Texas,4838190,4,5,TX-237905,2575,173.80,344.08
ROYAL PUBLIC SCHOOLS,TEXAS,4801477,1,1,TX-015842,111,15.69,24.06
ROYSE CITY ISD,Texas,4838220,9,9,TX-199902,7629,500.93,997.76
RULE ISD,Texas,4838280,1,1,TX-104903,143,17.47,33.46
RUNGE ISD,Texas,4838310,3,4,TX-128903,217,20.18,46.22
RUSK ISD,Texas,4838360,5,5,TX-037907,2001,164.58,335.62
S AND S CISD,Texas,4838400,3,3,TX-091914,991,76.85,145.58
SABINAL ISD,Texas,4838430,4,4,TX-232902,399,36.60,85.69
SABINE ISD,Texas,4838460,3,3,TX-092906,1531,116.64,239.99
SABINE PASS ISD,Texas,4838490,1,2,TX-123913,365,33.99,68.25
SAINT JO ISD,Texas,4838520,2,2,TX-169911,322,29.16,52.02
SALADO ISD,Texas,4838580,4,6,TX-014908,2242,150.49,274.11
SALTILLO ISD,Texas,4838610,1,1,TX-112909,244,25.70,55.75
SAM HOUSTON STATE UNIVERSITY CHARTER SCHOOL,TEXAS,4801454,1,1,TX-236802,432,26.45,37.80
SAM RAYBURN ISD,Texas,4838640,2,2,TX-074917,518,54.00,80.50
SAN ANGELO ISD,Texas,4838700,23,23,TX-226903,13860,913.50,1812.45
SAN ANTONIO ISD,Texas,4838730,100,102,TX-015907,44710,3134.79,7309.74
SAN ANTONIO PREPARATORY SCHOOLS,TEXAS,4801472,1,1,TX-015840,205,11.53,22.53
SAN AUGUSTINE ISD,Texas,4838760,2,2,TX-203901,662,59.43,142.48
SAN BENITO CISD,Texas,4838790,22,22,TX-031912,9211,631.23,1516.95
SAN DIEGO ISD,Texas,4838820,3,3,TX-066902,1453,96.76,197.34
SAN ELIZARIO ISD,Texas,4838850,6,7,TX-071904,3193,203.20,535.11
SAN FELIPE-DEL RIO CISD,Texas,4838900,16,17,TX-233901,9870,598.10,1472.36
SAN ISIDRO ISD,Texas,4838910,2,2,TX-214902,191,20.00,50.34
SAN MARCOS CISD,Texas,4838970,11,11,TX-105902,8171,571.82,1241.18
SAN PERLITA ISD,Texas,4839000,3,3,TX-245904,223,25.63,56.63
SAN SABA ISD,Texas,4839030,3,3,TX-206901,731,69.22,129.23
SAN VICENTE ISD,Texas,4839060,1,1,TX-022903,9,4.00,8.16
SANDS CISD,Texas,4839120,1,1,TX-058909,249,21.19,40.50
SANFORD-FRITCH ISD,Texas,4839150,3,3,TX-117903,693,60.81,133.29
SANGER ISD,Texas,4839180,7,8,TX-061908,2750,199.89,443.46
