,Agency Name,County #,District #,FTE Teachers 2018-2019,Total Staff 2018-2019,Total Students 2018-2019,FTE Teachers 2020-2021,Total Staff 2020-2021,Total Students 2020-2021
10990,NEDERLAND ISD,48245.0,123905,363.8,670.72,5207.0,366.06,674.28,5022.0
10991,NEDERLAND ISD,48245.0,123905,363.8,670.72,5207.0,366.06,674.28,5022.0
10992,NEDERLAND ISD,48245.0,123905,363.8,670.72,5207.0,366.06,674.28,5022.0
10993,NEDERLAND ISD,48245.0,123905,363.8,670.72,5207.0,366.06,674.28,5022.0
10994,NEDERLAND ISD,48245.0,123905,363.8,670.72,5207.0,366.06,674.28,5022.0
10995,NEDERLAND ISD,48245.0,123905,363.8,670.72,5207.0,366.06,674.28,5022.0
10996,NEDERLAND ISD,48245.0,123905,363.8,670.72,5207.0,366.06,674.28,5022.0
10997,NEDERLAND ISD,48245.0,123905,363.8,670.72,5207.0,366.06,674.28,5022.0
10998,NEDERLAND ISD,48245.0,123905,363.8,670.72,5207.0,366.06,674.28,5022.0
10999,NEDERLAND ISD,48245.0,123905,363.8,670.72,5207.0,366.06,674.28,5022.0
11000,NEDERLAND ISD,48245.0,123905,363.8,670.72,5207.0,366.06,674.28,5022.0
11001,NEDERLAND ISD,48245.0,123905,363.8,670.72,5207.0,366.06,674.28,5022.0
11002,NEDERLAND ISD,48245.0,123905,363.8,670.72,5207.0,366.06,674.28,5022.0
11003,NEDERLAND ISD,48245.0,123905,363.8,670.72,5207.0,366.06,674.28,5022.0
11004,NEDERLAND ISD,48245.0,123905,363.8,670.72,5207.0,366.06,674.28,5022.0
11005,NEDERLAND ISD,48245.0,123905,363.8,670.72,5207.0,366.06,674.28,5022.0
11006,NEDERLAND ISD,48245.0,123905,363.8,670.72,5207.0,366.06,674.28,5022.0
11007,NEDERLAND ISD,48245.0,123905,363.8,670.72,5207.0,366.06,674.28,5022.0
11008,NEDERLAND ISD,48245.0,123905,363.8,670.72,5207.0,366.06,674.28,5022.0
11009,NEDERLAND ISD,48245.0,123905,363.8,670.72,5207.0,366.06,674.28,5022.0
11010,NEDERLAND ISD,48245.0,123905,363.8,670.72,5207.0,366.06,674.28,5022.0
11011,NEDERLAND ISD,48245.0,123905,363.8,670.72,5207.0,366.06,674.28,5022.0
