County Name,Agency Name,County #,District #,FTE Teachers 2018-2019,Total Staff 2018-2019,Total Students 2018-2019,FTE Teachers 2020-2021,Total Staff 2020-2021,Total Students 2020-2021
SAN JACINTO COUNTY,COLDSPRING-OAKHURST CISD,48407,204901,108.61,267.36,1567.0,116.88,278.96,1533.0
COLEMAN COUNTY,COLEMAN ISD,48083,42901,78.45,172.21,869.0,70.2,156.31,842.0
BRAZOS COUNTY,COLLEGE STATION ISD,48041,21901,965.44,1869.69,13540.0,1014.05,1947.06,13664.0
GRAYSON COUNTY,COLLINSVILLE ISD,48181,91902,42.76,75.44,528.0,44.94,84.77,539.0
TYLER COUNTY,COLMESNEIL ISD,48457,229901,37.5,64.16,484.0,41.59,66.14,435.0
MITCHELL COUNTY,COLORADO ISD,48335,168901,65.38,143.93,947.0,66.59,144.98,901.0
BRAZORIA COUNTY,COLUMBIA-BRAZORIA ISD,48039,20907,199.72,429.16,3037.0,203.27,456.52,2873.0
COLORADO COUNTY,COLUMBUS ISD,48089,45902,119.14,220.84,1544.0,122.58,228.12,1536.0
COMAL COUNTY,COMAL ISD,48091,46902,1498.72,2827.79,23935.0,1617.95,3106.09,25459.0
COMANCHE COUNTY,COMANCHE ISD,48093,47901,112.81,226.83,1314.0,108.09,216.83,1318.0
KENDALL COUNTY,COMFORT ISD,48259,130902,92.07,158.16,1102.0,87.79,153.14,1064.0
HUNT COUNTY,COMMERCE ISD,48231,116903,112.71,233.38,1520.0,121.71,250.94,1462.0
COLLIN COUNTY,COMMUNITY ISD,48085,43918,160.85,309.26,2385.0,171.49,329.88,2757.0
HOPKINS COUNTY,COMO-PICKTON CISD,48223,112908,63.99,119.33,742.0,63.24,119.9,709.0
ECTOR COUNTY,COMPASS ACADEMY CHARTER SCHOOL,48135,68802,66.01,89.99,1116.0,77.04,108.15,1322.0
BEXAR COUNTY,COMPASS ROSE ACADEMY,48029,15838,14.06,23.92,193.0,50.75,113.84,1154.0
HARRIS COUNTY,COMQUEST ACADEMY,48201,101842,4.71,10.71,62.0,2.23,7.92,38.0
VAL VERDE COUNTY,COMSTOCK ISD,48465,233903,17.73,30.11,199.0,18.57,32.97,231.0
